id,label

0,2
1,5
2,5
3,3
4,5
5,0
6,2
7,5
8,1
9,5
10,1
11,0
12,0
13,2
14,3
15,5
16,2
17,2
18,1
19,0
20,1
21,2
22,1
23,3
24,5
25,0
26,3
27,1
28,2
29,1
30,4
31,0
32,1
33,5
34,4
35,2
36,5
37,1
38,5
39,0
40,1
41,1
42,1
43,3
44,3
45,0
46,5
47,3
48,2
49,5
50,2
51,0
52,1
53,1
54,5
55,2
56,4
57,1
58,1
59,5
60,4
61,4
62,5
63,0
64,1
65,3
66,1
67,5
68,2
69,3
70,5
71,1
72,1
73,1
74,2
75,0
76,2
77,5
78,3
79,0
80,4
81,1
82,2
83,5
84,2
85,5
86,0
87,3
88,0
89,0
90,0
91,5
92,2
93,0
94,1
95,2
96,2
97,2
98,5
99,5
100,0
101,0
102,0
103,0
104,5
105,0
106,2
107,2
108,3
109,1
110,2
111,1
112,5
113,3
114,2
115,5
116,1
117,3
118,2
119,5
120,3
121,3
122,5
123,5
124,2
125,0
126,3
127,0
128,1
129,1
130,0
131,0
132,5
133,1
134,0
135,4
136,0
137,2
138,4
139,5
140,4
141,2
142,4
143,4
144,5
145,3
146,2
147,4
148,2
149,0
150,1
151,5
152,3
153,3
154,3
155,0
156,5
157,4
158,0
159,3
160,2
161,1
162,4
163,2
164,4
165,1
166,1
167,2
168,1
169,5
170,3
171,0
172,4
173,0
174,4
175,3
176,3
177,2
178,1
179,0
180,3
181,5
182,5
183,5
184,3
185,1
186,1
187,2
188,0
189,5
190,2
191,0
192,1
193,5
194,2
195,3
196,2
197,0
198,0
199,2
200,1
201,0
202,0
203,3
204,1
205,5
206,2
207,0
208,4
209,4
210,1
211,4
212,3
213,0
214,1
215,4
216,3
217,4
218,0
219,0
220,2
221,2
222,1
223,3
224,0
225,4
226,5
227,1
228,1
229,5
230,1
231,2
232,0
233,1
234,0
235,3
236,2
237,0
238,1
239,5
240,0
241,5
242,1
243,3
244,1
245,1
246,4
247,2
248,0
249,1
250,3
251,2
252,5
253,2
254,1
255,5
256,1
257,0
258,5
259,1
260,2
261,1
262,5
263,5
264,5
265,0
266,0
267,5
268,4
269,0
270,3
271,1
272,3
273,3
274,5
275,5
276,2
277,4
278,1
279,2
280,2
281,1
282,4
283,5
284,5
285,2
286,4
287,1
288,4
289,0
290,3
291,4
292,1
293,0
294,2
295,1
296,3
297,4
298,0
299,2
300,5
301,1
302,5
303,2
304,5
305,1
306,2
307,4
308,5
309,1
310,5
311,2
312,2
313,5
314,1
315,4
316,3
317,0
318,3
319,0
320,1
321,3
322,1
323,1
324,3
325,4
326,0
327,4
328,3
329,5
330,4
331,0
332,3
333,1
334,0
335,1
336,0
337,2
338,0
339,4
340,0
341,3
342,0
343,5
344,4
345,3
346,2
347,1
348,5
349,5
350,4
351,5
352,1
353,3
354,5
355,4
356,1
357,2
358,0
359,3
360,1
361,2
362,2
363,5
364,5
365,1
366,1
367,0
368,2
369,5
370,4
371,1
372,0
373,5
374,3
375,2
376,3
377,0
378,1
379,4
380,1
381,3
382,5
383,4
384,2
385,3
386,1
387,2
388,4
389,4
390,5
391,3
392,3
393,4
394,1
395,0
396,0
397,1
398,5
399,0
400,3
401,0
402,1
403,3
404,5
405,5
406,2
407,4
408,1
409,0
410,5
411,1
412,1
413,3
414,3
415,3
416,2
417,5
418,0
419,5
420,3
421,0
422,3
423,3
424,5
425,0
426,5
427,0
428,4
429,3
430,1
431,4
432,4
433,5
434,0
435,4
436,2
437,1
438,1
439,0
440,4
441,5
442,1
443,3
444,5
445,0
446,0
447,1
448,5
449,5
450,2
451,3
452,0
453,4
454,2
455,0
456,1
457,2
458,4
459,2
460,4
461,5
462,2
463,1
464,1
465,2
466,2
467,5
468,0
469,4
470,2
471,3
472,0
473,4
474,3
475,2
476,3
477,2
478,1
479,1
480,1
481,3
482,5
483,1
484,5
485,2
486,1
487,2
488,3
489,0
490,5
491,1
492,4
493,2
494,4
495,4
496,2
497,1
498,4
